Time,Last Price,Net Change,Volume,OI,Buy Quantity,Sell Quantity,Buy Sell Diff,Total Bid Qty,Total Offer Qty
2025-11-04 21:26:22,119925,0,64496.0,38806.0,1862,2777,-915,5,13
2025-11-04 21:26:17,119925,0,64496.0,38808.0,1860,2781,-921,13,16
2025-11-04 21:26:12,119930,0,64493.0,38808.0,1863,2779,-916,5,11
2025-11-04 21:26:06,119940,0,64485.0,38808.0,1874,2771,-897,12,12
2025-11-04 21:26:01,119940,0,64484.0,38808.0,1874,2774,-900,12,13
2025-11-04 21:25:56,119940,0,64483.0,38814.0,1867,2768,-901,12,12
2025-11-04 21:25:50,119944,0,64478.0,38814.0,1893,2762,-869,7,10
2025-11-04 21:25:45,119940,0,64476.0,38814.0,1878,2763,-885,10,9
2025-11-04 21:25:40,119944,0,64475.0,38814.0,1868,2779,-911,6,13
2025-11-04 21:25:35,119944,0,64475.0,38814.0,1863,2774,-911,11,14
2025-11-04 21:25:29,119946,0,64472.0,38814.0,1866,2772,-906,6,15
2025-11-04 21:25:24,119953,0,64469.0,38814.0,1866,2770,-904,7,13
2025-11-04 21:25:19,119954,0,64465.0,38813.0,1861,2768,-907,9,11
2025-11-04 21:25:14,119943,0,64461.0,38813.0,1860,2768,-908,9,13
2025-11-04 21:25:08,119950,0,64448.0,38813.0,1859,2767,-908,11,11
2025-11-04 21:25:03,119950,0,64448.0,38813.0,1862,2761,-899,10,21
2025-11-04 21:24:58,119930,0,64439.0,38813.0,1853,2773,-920,12,17
2025-11-04 21:24:53,119930,0,64439.0,38813.0,1850,2767,-917,11,14
2025-11-04 21:24:48,119930,0,64438.0,38813.0,1852,2761,-909,12,10
2025-11-04 21:24:42,119930,0,64436.0,38812.0,1864,2775,-911,14,14
2025-11-04 21:24:37,119934,0,64429.0,38812.0,1851,2782,-931,19,12
2025-11-04 21:24:32,119947,0,64421.0,38812.0,1858,2779,-921,13,17
2025-11-04 21:24:27,119937,0,64418.0,38812.0,1859,2775,-916,9,14
2025-11-04 21:24:21,119964,0,64417.0,38812.0,1870,2772,-902,11,14
2025-11-04 21:24:16,119953,0,64413.0,38812.0,1865,2779,-914,13,17
2025-11-04 21:24:11,119953,0,64413.0,38812.0,1867,2779,-912,14,18
2025-11-04 21:24:06,119954,0,64410.0,38797.0,1869,2766,-897,11,13
2025-11-04 21:24:01,119957,0,64409.0,38797.0,1871,2775,-904,7,14
2025-11-04 21:23:56,119954,0,64408.0,38797.0,1868,2773,-905,11,20
2025-11-04 21:23:50,119954,0,64408.0,38797.0,1873,2765,-892,12,18
2025-11-04 21:23:45,119975,0,64404.0,38797.0,1864,2780,-916,10,14
2025-11-04 21:23:40,119955,0,64403.0,38797.0,1874,2777,-903,13,10
2025-11-04 21:23:35,119980,0,64393.0,38797.0,1863,2786,-923,10,10
2025-11-04 21:23:30,119980,0,64393.0,38797.0,1866,2767,-901,11,14
2025-11-04 21:23:25,119960,0,64392.0,38797.0,1872,2771,-899,12,9
2025-11-04 21:23:19,119956,0,64391.0,38797.0,1866,2781,-915,12,12
2025-11-04 21:23:14,119993,0,64390.0,38797.0,1866,2765,-899,11,14
2025-11-04 21:23:09,119991,0,64386.0,38794.0,1878,2766,-888,17,10
2025-11-04 21:23:04,119975,0,64382.0,38794.0,1871,2771,-900,11,15
2025-11-04 21:22:59,119970,0,64378.0,38794.0,1872,2762,-890,13,5
2025-11-04 21:22:54,119969,0,64377.0,38794.0,1875,2767,-892,11,11
2025-11-04 21:22:48,119953,0,64376.0,38792.0,1873,2773,-900,10,11
2025-11-04 21:22:43,119971,0,64374.0,38792.0,1870,2766,-896,12,14
2025-11-04 21:22:38,119969,0,64372.0,38792.0,1863,2785,-922,9,12
2025-11-04 21:22:33,119969,0,64371.0,38796.0,1863,2789,-926,9,13
2025-11-04 21:22:28,119953,0,64368.0,38796.0,1859,2785,-926,7,15
2025-11-04 21:22:23,119950,0,64367.0,38796.0,1869,2777,-908,8,10
2025-11-04 21:22:17,119953,0,64362.0,38796.0,1868,2783,-915,8,12
2025-11-04 21:22:12,119953,0,64362.0,38796.0,1858,2793,-935,11,12
2025-11-04 21:22:07,119937,0,64361.0,38791.0,1864,2779,-915,9,10
2025-11-04 21:22:02,119940,0,64358.0,38791.0,1852,2804,-952,12,16
2025-11-04 21:21:57,119970,0,64351.0,38791.0,1871,2787,-916,18,10
2025-11-04 21:21:52,119952,0,64350.0,38791.0,1873,2792,-919,18,18
2025-11-04 21:21:47,119951,0,64349.0,38796.0,1868,2782,-914,15,12
2025-11-04 21:21:42,119995,0,64345.0,38796.0,1848,2778,-930,7,12
2025-11-04 21:21:36,119995,0,64342.0,38796.0,1853,2759,-906,16,21
2025-11-04 21:21:31,119992,0,64340.0,38796.0,1866,2762,-896,16,21
2025-11-04 21:21:26,119970,0,64334.0,38800.0,1853,2766,-913,19,17
2025-11-04 21:21:21,119942,0,64329.0,38800.0,1837,2785,-948,9,10
2025-11-04 21:21:16,119934,0,64328.0,38800.0,1833,2785,-952,7,10
2025-11-04 21:21:10,119934,0,64328.0,38800.0,1828,2783,-955,9,11
2025-11-04 21:21:05,119945,0,64327.0,38800.0,1831,2779,-948,10,10
2025-11-04 21:21:00,119945,0,64325.0,38800.0,1824,2777,-953,16,10
2025-11-04 21:20:55,119951,0,64320.0,38800.0,1829,2783,-954,8,12
2025-11-04 21:20:50,119959,0,64317.0,38800.0,1841,2776,-935,19,11
2025-11-04 21:20:45,119959,0,64315.0,38800.0,1836,2770,-934,15,11
2025-11-04 21:20:40,119950,0,64313.0,38798.0,1829,2772,-943,15,11
2025-11-04 21:20:35,119948,0,64311.0,38798.0,1826,2757,-931,16,12
2025-11-04 21:20:29,119948,0,64311.0,38798.0,1823,2766,-943,7,16
2025-11-04 21:20:24,119963,0,64310.0,38798.0,1830,2760,-930,13,15
2025-11-04 21:20:19,119988,0,64307.0,38798.0,1828,2754,-926,9,14
2025-11-04 21:20:14,119960,0,64300.0,38798.0,1826,2755,-929,7,10
2025-11-04 21:20:09,119930,0,64292.0,38797.0,1821,2764,-943,6,11
2025-11-04 21:20:04,119939,0,64284.0,38797.0,1810,2758,-948,9,10
2025-11-04 21:19:59,119939,0,64284.0,38797.0,1807,2751,-944,8,14
2025-11-04 21:19:53,119930,0,64279.0,38797.0,1815,2750,-935,11,12
2025-11-04 21:19:48,119932,0,64276.0,38797.0,1816,2754,-938,14,13
2025-11-04 21:19:43,119961,0,64270.0,38797.0,1815,2769,-954,14,9
2025-11-04 21:19:38,119995,0,64258.0,38797.0,1831,2734,-903,19,13
2025-11-04 21:19:33,119995,0,64258.0,38797.0,1821,2736,-915,19,22
2025-11-04 21:19:28,119995,0,64258.0,38797.0,1815,2740,-925,20,29
2025-11-04 21:19:23,119979,0,64245.0,38797.0,1810,2737,-927,15,25
2025-11-04 21:19:17,119974,0,64244.0,38783.0,1794,2753,-959,10,11
2025-11-04 21:19:12,119974,0,64230.0,38783.0,1816,2748,-932,12,13
2025-11-04 21:19:07,119974,0,64229.0,38783.0,1799,2745,-946,15,13
2025-11-04 21:19:02,119974,0,64229.0,38783.0,1787,2729,-942,15,11
2025-11-04 21:18:57,119957,0,64224.0,38783.0,1786,2731,-945,15,14
2025-11-04 21:18:52,120000,0,64208.0,38783.0,1807,2718,-911,16,5
2025-11-04 21:18:47,120000,0,64201.0,38783.0,1814,2728,-914,14,8
2025-11-04 21:18:41,120000,0,64201.0,38783.0,1812,2735,-923,14,9
2025-11-04 21:18:36,120000,0,64200.0,38783.0,1807,2715,-908,16,21
2025-11-04 21:18:31,120005,0,64196.0,38786.0,1807,2711,-904,13,16
